,k,Successes,Failures
0,1,720,202
1,2,679,289
2,3,656,323
3,4,615,372
4,5,592,400
5,6,586,406
6,7,556,437
7,8,538,452
8,9,529,465
9,10,519,476
10,11,509,485
11,12,479,517
12,13,498,497
13,14,475,522
14,15,456,539
15,16,467,528
16,17,444,552
17,18,453,542
18,19,459,538
19,20,429,568
20,21,414,584
21,22,424,574
22,23,416,582
23,24,431,568
24,25,419,580
25,26,403,596
26,27,392,606
27,28,398,601
28,29,393,607
29,30,392,605
30,31,379,619
31,32,394,606
32,33,383,616
33,34,369,630
34,35,371,628
35,36,372,627
36,37,376,624
37,38,364,636
38,39,354,646
39,40,385,615
40,41,364,635
41,42,342,657
42,43,350,650
43,44,346,653
44,45,362,638
45,46,347,653
46,47,326,674
47,48,330,669
48,49,342,658
